time,vehicle_count,avg_speed,speed_std,avg_acceleration,acc_std,avg_co2,avg_fuel,sudden_brake_count
772,179,5.794574644986185,7.259170785018057,0.2496959450712123,1.364667647456743,3100.988705956749,1005.2962681517298,8
773,180,5.931357655964769,7.45078017089646,0.1689750923396189,1.4611787659513102,3015.7307726558115,977.6568161436255,13
774,181,5.956298967634579,7.5916052759777655,0.05771124347071986,1.5373002027727214,3001.7077641771807,973.1097554265145,14
775,181,5.81362598430529,7.7149954858467105,-0.010658468584196931,1.523208146221054,2859.874360586337,927.1305175110142,14
776,181,5.772642558347388,7.782108492416802,-0.040983425957900964,1.6110215540405424,2753.3542872532917,892.5972784305229,16
777,183,5.728240425060549,7.824976302077917,0.01868685642187528,1.4798313247811887,2805.245381890062,909.4205597602332,13
778,184,5.6993129773241415,7.824330591197336,0.0022042937041386696,1.5249952672297273,2759.5343573929695,894.6009920006882,15
779,183,5.563132124685518,7.610824132265615,0.07213596797465437,1.4489031030997201,2679.369365095752,868.6127186166916,12
780,183,5.532449557210873,7.5983080216206105,0.033037441568144865,1.4761021404502745,2681.678217015486,869.3628465360448,14
781,183,5.56701848646647,7.5451954126516165,0.08630622395470768,1.5356589804888163,2751.586594429555,892.025109968005,14
782,184,5.54560248756986,7.446865718498798,0.00883953635592545,1.5558457661010876,2650.073051671103,859.1175469733316,14
783,185,5.630702630643565,7.54480911509623,0.11507637273624481,1.544354378601033,3043.759066982741,986.7420214361726,13
784,186,5.643043117365161,7.4644000019152585,0.042613081510001524,1.5132471130718492,2669.4158888585553,865.3886680578667,12
785,186,5.658968763088174,7.364032708380027,0.08407613883555909,1.4528692319414562,2646.520903747817,857.9678241987915,12
786,184,5.6225469551040295,7.30746565197096,0.01552248422913281,1.5714722251678943,2702.4389780185775,876.0946703983568,17
787,185,5.66500620788792,7.3512005281196116,0.07285139848715454,1.4126595671635145,2839.69903902649,920.5907551461746,12
788,186,5.6604333112354,7.3141960269019775,0.025884125970534723,1.4820036402945451,2659.2986606311997,862.107950078114,14
789,188,5.654219938661372,7.456277908591589,0.05400400307741098,1.4972175873268818,2883.44480128097,934.7721990130534,14
790,187,5.548712524618573,7.3717376404126265,0.1176561013713415,1.415497032490511,2873.8343244141292,931.6580052299402,11
791,188,5.601989587032376,7.496917723258629,0.08279149073624305,1.4889248714635996,2833.400347743002,918.5480294555002,12
792,188,5.737027057737761,7.526113328975406,0.14868283595655815,1.4007850853825181,2814.741107378043,912.4977567813044,12
793,186,5.51453608787154,7.307695385656002,0.035436280170465226,1.3330324623299445,2532.5263136084204,821.0119815703738,9
794,186,5.495934442053957,7.286378863159329,0.05116592903903176,1.48371610311419,2721.0964132708914,882.1418603563458,14
795,186,5.437070388172116,7.291899406216645,0.010556530759842139,1.4098063241664653,2552.718402887645,827.5577078372094,11
796,184,5.077944996871194,7.1241555492569,-0.18705119003631018,1.587066094333045,2201.1359923334035,713.5794803697745,17
797,184,5.010595316011082,7.111505215589814,0.011540652251469658,1.3786537598761535,2377.7889348853937,770.8470357653011,11
798,185,5.033823879864447,7.019387227747688,0.05031286285883106,1.3468124345163364,2319.376259297583,751.911224643568,10
799,186,5.122496659865257,7.074267949152099,0.11573634924739261,1.30953836117853,2481.9843367748153,804.6272363209283,9
800,187,5.320440409397571,7.18025031891841,0.22533677979897287,1.2863004419972532,2619.6515785739043,849.2546190321331,7
801,188,5.513309618372259,7.3582188581620445,0.22116942391829217,1.2904655083677408,2821.34918685563,914.6434401642884,6
802,189,5.758398593961431,7.538385139021171,0.2742599259509297,1.1354228883421333,2865.713417096041,929.0253772334559,5
803,190,5.87029643173501,7.671104077646682,0.14220519879442983,1.2041971812474206,2736.8080469379056,887.2356869518916,8
804,190,5.9333218196145125,7.824204308355459,0.06302538787950225,1.374723084809153,2814.5782932241727,912.4475584055199,11
805,190,5.778743823629567,7.834230423070626,-0.07980064495586642,1.4580302505319718,2474.595934787715,802.2301596263387,15
806,191,5.714257832550374,7.761147683336659,0.03412252663674669,1.257227924269857,2415.6060443247115,783.1093231375119,11
807,192,5.742632832656299,7.660486274261094,0.058136759650458704,1.3494017216307683,2579.8897503234452,836.3661809700228,11
808,191,5.762476651522505,7.651959215538531,0.13127838050738078,1.3001126519405553,2674.2025458504413,866.9391183019567,7
809,189,5.708021579327211,7.615578902176611,0.07983655610161063,1.3059194869557709,2595.9555397776808,841.5746480860051,9
810,190,5.599494732828393,7.4262689099409105,-0.07848462766025399,1.4662040406314962,2293.330359836182,743.4685846592815,14
811,190,5.589873256953606,7.224547408600573,-0.009621475874786916,1.544666563031969,2470.6503368584777,800.952011323247,15
812,190,5.569869729879039,7.124654993630468,0.04224681594445032,1.4788203913054705,2494.7582791516534,808.7666609197989,14
813,190,5.577181117389904,7.168981975151328,0.09248545193226618,1.4652378611680896,2746.4085298859604,890.3473653763953,11
814,190,5.61216865931134,7.226353229863094,0.05852659555370556,1.4752186994397984,2663.562555072352,863.4905043077082,13
815,191,5.741294873587997,7.257457182825011,0.15850929626258103,1.4291102458124771,2804.1286643222984,909.0599329218726,12
816,192,5.898124191737984,7.189194686355171,0.18673189561659007,1.4409062264752324,2883.7882394847475,934.8840159881917,11
817,192,5.968086237944213,7.2183760445921035,0.14126302085562054,1.4042788082828435,2847.997175943601,923.2814758724644,11
818,189,5.87095520255268,7.219302845199224,0.12516718764397802,1.4133095464823975,2852.2000498769025,924.6428423336639,10
819,187,5.7816842149233345,7.152559112111698,0.029628201448134387,1.5193010600640011,2793.0063025895292,905.453390042912,15
820,188,5.832797213137728,7.229508904128735,0.0818666376554761,1.4318899304146366,2807.0514092072945,910.0063369573635,11
821,188,5.850681385661852,7.369780532976596,0.08514186199229304,1.402256483664958,2814.134969946237,912.3032685411839,11
822,190,6.0500946287003625,7.628084576108237,0.26099936288758296,1.3343254510514821,3209.136904237857,1040.3556094337066,7
823,190,6.081531835509091,7.696111388983685,0.1121318387491524,1.494012564982436,3061.2793137569734,992.4214115523139,13
824,191,6.204293051611042,7.771922634329704,0.15460169691613448,1.3309975393836135,2883.433109077087,934.7676827816427,10
